Abbreviation,Full Name
"AAAI Conf. Artif. Intell.","Proceedings of the AAAI Conference on Artificial Intelligence"
"Adv. Neural Inf. Proces. Syst.","Advances in Neural Information Processing Systems"
"Adv. neural inf. proces. syst.","Advances in Neural Information Processing Systems"
"Appl. Energy","Applied Energy"
"Chem. Eng. J.","Chemical Engineering Journal"
"Conf. N. Am. Chapter Assoc. Comput. Linguist.: Hum. Lang. Technol., Proc. Conf.","Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Proceedings of the Conference"
"Electrochim. Acta","Electrochimica Acta"
"Energy Storage Mater.","Energy Storage Materials"
"Eur. J. Oper. Res.","European Journal of Operational Research"
"IEEE T. Intell. Veh.","IEEE Transactions on Intelligent Vehicles"
"IEEE Trans. Ind. Electron.","IEEE Transactions on Industrial Electronics"
"IEEE Trans. Ind. Inform.","IEEE Transactions on Industrial Informatics"
"IEEE Trans. Instrum. Meas.","IEEE Transactions on Instrumentation and Measurement"
"IEEE Trans. Intell. Transp. Syst.","IEEE Transactions on Intelligent Transportation Systems"
"IEEE Trans. Knowl. Data Eng.","IEEE Transactions on Knowledge and Data Engineering"
"IEEE Trans. Neural Netw. Learn. Syst.","IEEE Transactions on Neural Networks and Learning Systems"
"IEEE Trans. Pattern Anal. Mach. Intell.","IEEE Transactions on Pattern Analysis and Machine Intelligence"
"IEEE Trans. Power Electron.","IEEE Transactions on Power Electronics"
"IEEE Trans. Reliab.","IEEE Transactions on Reliability"
"IEEE Trans. Transp. Electrif.","IEEE Transactions on Transportation Electrification"
"IEEE Trans. Veh. Technol.","IEEE Transactions on Vehicular Technology"
"IEEE-CAA J. Automatica Sin.","IEEE-CAA Journal of Automatica Sinica"
"IEEE/ASME Trans. Mechatron.","IEEE/ASME Transactions on Mechatronics"
"Inf. Fusion","Information Fusion"
"Int. Conf. Learn. Represent.","International Conference on Learning Representations"
"J. Dyn. Monit. Diagn.","Journal of Dynamics, Monitoring and Diagnostics"
"J. Electrochem. Soc.","Journal of The Electrochemical Society"
"J. Energy Chem.","Journal of Energy Chemistry"
"J. Energy Storage","Journal of Energy Storage"
"J. Frankl. Inst.","Journal of the Franklin Institute"
"J. Manuf. Syst.","Journal of Manufacturing Systems"
"J. Power Sources","Journal of Power Sources"
"J. Sound Vib.","Journal of Sound and Vibration"
"Knowl.-Based Syst.","Knowledge-Based Systems"
"Mech. Syst. Signal Proc.","Mechanical Systems and Signal Processing"
"Mech. Syst. Signal Process.","Mechanical Systems and Signal Processing"
"Nat. Commun.","Nature Communications"
"Nat. Energy","Nature Energy"
"Nat. Rev. Method. Prim.","Nature Reviews Methods Primers"
"Ocean Eng.","Ocean Engineering"
"Proc. AAAI Conf. Artif. Intell.","Proceedings of the AAAI Conference on Artificial Intelligence"
"Proc. Adv. Neural Inf. Process. Syst.","Advances in Neural Information Processing Systems"
"Proc. Adv. neural inf. proces. syst.","Advances in Neural Information Processing Systems"
"Proc. Annu. Conf. Int. Speech. Commun. Assoc.","Proceedings of the Annual Conference of the International Speech Communication Association"
"Proc. Annu. Meet. Assoc. Comput. Linguist.","Proceedings of the Annual Meeting of the Association for Computational Linguistics"
"Proc. COLM","Proceedings of the Conference on Learning Machines"
"Proc. ECPHM","Proceedings of the European Conference on Prognostics and Health Management"
"Proc. EMNLP","Proceedings of the Conference on Empirical Methods in Natural Language Processing"
"Proc. ICAI","Proceedings of the International Conference on Artificial Intelligence"
"Proc. ICLR","Proceedings of the International Conference on Learning Representations"
"Proc. ICML","Proceedings of the International Conference on Machine Learning"
"Proc. IEEE","Proceedings of the IEEE"
"Proc. Int. Conf. Learn. Represent.","Proceedings of the International Conference on Learning Representations"
"Proc. Int. Conf. Mach. Learn.","Proceedings of the International Conference on Machine Learning"
"Proc. LREC-COLING","Proceedings of the LREC-COLING Conference"
"Reliab. Eng. Syst. Saf.","Reliability Engineering & System Safety"
"Renew. Sust. Energ. Rev.","Renewable and Sustainable Energy Reviews"
"Trans. Mach. Learn. Res.","Transactions on Machine Learning Research"
