,accuracy,precision,recall,f1-score,,,,,,,,,,,,,,,,
4800,0.9,0.91885789,0.9,0.897166793,,,,,,,,,,,,,,,,
2400,0.891666667,0.916122726,0.891666667,0.891315234,,,,,,,,,,,,,,,,
1600,0.855555556,0.882451524,0.855555556,0.855690039,,,,,,,,,,,,,,,,
1200,0.816666667,0.840612711,0.816666667,0.816475114,,,,,,,,,,,,,,,,
960,0.805555556,0.841173593,0.805555556,0.800225517,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,S
