idx,target_distribution,relative_error_distribution
0,142.0,0.14303963
1,54.0,0.09535975
2,31.0,0.14303963
3,19.0,0.09535975
4,31.0,0.09535975
5,19.0,0.14303963
6,15.0,0.09535975
7,12.0,0.14303963
8,11.0,0.14303963
9,9.0,0.09535975
10,9.0,0.09535975
11,8.0,0.14303963
12,8.0,0.14303963
13,6.0,0.14303963
14,6.0,0.09535975
15,5.0,0.14303963
16,5.0,0.14303963
17,5.0,0.14303963
18,4.0,0.14303963
19,3.0,0.14303963
20,4.0,0.14303963
21,3.0,0.09535975
22,4.0,0.14303963
23,3.0,0.14303963
24,3.0,0.14303963
25,3.0,0.14303963
26,3.0,0.14303963
27,3.0,0.1907195
28,2.0,0.14303963
29,3.0,0.1907195
30,3.0,0.14303963
31,3.0,0.1907195
32,3.0,0.23839937
33,3.0,0.23839937
34,3.0,0.23839937
35,2.0,0.28607926
36,3.0,0.28607926
37,3.0,0.381439
38,3.0,0.381439
39,2.0,0.42911887
40,2.0,0.42911887
41,3.0,0.5244786
42,3.0,0.5721585
43,2.0,0.7151981
44,3.0,0.90591764
45,2.0,1.4780761
46,2.0,0.90591764
47,3.0,1.4780761
48,2.0,2.5747132
49,3.0,6.770542
