idx, model, SOH_MSE, infer_time, memory/num_params
1, iTransformer, 0.5257, 0.8625239539146423, 610177
2, PatchTST, 0.0311, 7.368992660840353, 601473
3, TSMixer, 3.4749, 0.35433152059714, 34308
4, PINN, 0.0403, 0.031178667234877746, 12402
5, DR-Net, 0.3324, 8.527985827128093, 6426949
6, MAGNet, 0.0244, 1.725777928829193, 68945
7, DeNN, 0.0542, 0.7319037922223409, 666410
8, MambaLithium, 0.0338, 0.515796694556872, 234625
9, LSTM-DA, 0.1140, 0.46054549237092335, 70785
10, ConvMMD, 0.0891, 1.832770237525304, 12532
11, DKTL, 0.0889, 6.1034281571706135, 15958338
12, DDAN, 0.0667, 0.5275388789176941, 117707
13, ours, 0.0208, 0.35346122642358146, 50256
